abstract,authors,n_citation,references,title,venue,year,id
"This paper presents an approach of logic mapping into LUT-Array-Based PLD where Boolean functions in the form of the sum of generalized complex terms (SGCTs) can be mapped directly. While previous mapping approach requires predetermined variable ordering, our approach performs mapping and variable reordering simultaneously. For the purpose, we propose a directed acyclic graph based on the multiple valued decision diagram (MDD) and an algorithm to construct the graph. Our algorithm generates candidates of SGCT expressions for each node in a bottom-up manner and selects the variables in the current level by evaluating the sizes of SGCT expressions directly. Experimental results show that our approach reduces the number of terms maximum to 71 percent for the MCNC benchmark circuits.","['Tomonori Izumi', ""Shin'ichi Kouyama"", 'Hiroyuki Ochi', 'Yukihiro Nakamura']",0,"['3b02aa7c-3e74-4a25-a8e2-26dbdc1367a8', '54f78346-7c6f-45c7-928a-219d92b19466', '7e7d3baf-c32e-45c1-b391-19c2820c73c7', 'b3d9b852-7a2b-4f2d-90f4-67b8274a3317']",An Integrated Approach of Variable Ordering and Logic Mapping into LUT-Array-Based PLD,"IEICE Transactions on Fundamentals of Electronics, Communications and Computer Sciences",2005,4ae18481-f28a-4213-bb08-23d00eea25a9
"In sequential logic circuits the transient errors that occur in a particular time frame will propagate to consecutive time frames thereby making the device more vulnerable. In this work we propose a probabilistic error model for sequential logic that can measure the expected output error probability, given a probabilistic input space, that account for both spatial dependencies and temporal correlations across the logic, using a time evolving causal network. We demonstrate our error model using MCNC and ISCAS benchmark circuits and validate it with HSpice simulations. Our observations show that, significantly low individual gate error probabilities produce at least 5 fold higher output error probabilities. The average error percentage of our results with reference to HSpice simulation results is only 4.43%. Our observations show that the order of temporal dependency of error varies for different sequential circuits.","['Karthikeyan Lingasubramanian', 'Sanjukta Bhanja']",3,"['3a9612ef-a93f-4fb5-994b-930a19f6f82a', '3d4f821f-cca4-4ef6-a601-19928e24c379', '87083aab-fce5-417b-969a-76cc4490ba07', 'a1b20f9b-353c-4ed6-9738-fbc44c34bbc5', 'c4132bb2-400c-4682-a186-30ddc8e7d0e5']",An Error Model to Study the Behavior of Transient Errors in Sequential Circuits,international conference on vlsi design,2009,4ae1a38d-6063-456a-b947-8fa0d4af9228
"This paper describes the validity-guided fuzzy clustering evaluation for optimal training of localized neural networks (LNNs) used for reassigning time-frequency representations (TFRs). Our experiments show that the validity-guided fuzzy approach ameliorates the difficulty of choosing correct number of clusters and in conjunction with neural network-based processing technique utilizing a hybrid approach can effectively reduce the blur in the spectrograms. In the course of every partitioning problem the number of subsets must be given before the calculation, but it is rarely known apriori, in this case it must be searched also with using validity measures. Experimental results demonstrate the effectiveness of the approach.","['Imran Shafi', 'Jamil Ahmad', 'Syed Ismail Shah', 'Ataul Aziz Ikram', 'Adnan Ahmad Khan', 'Sajid Bashir']",50,"['14ef31cc-da49-45f6-8937-203c34a2953d', '18e80a7f-b01b-4f3f-ac93-e7e87c64cddf', '2018bc79-7459-4546-820d-d1f72f52826e', '3026827a-eec4-4580-9c2e-71a41d0003b7', '3f08f1ee-225f-4d9c-967d-8ef80567fc80', '3f0bc2c9-a5c2-4e4c-a4e9-7631e36bc6a3', '3fe2af91-ab89-46ae-b5dc-a8fe28534156', '4074838c-c163-44cd-b239-8e836c44db3c', '4b5eb470-9056-4855-b9f0-0221b4ce47b7', '4cff026e-af43-4e9a-8033-71376a02faf9', '6a0b28d7-1f00-4c58-befd-b3447eb0c4be', '7591fbd9-5642-4fe3-81d4-4392201aab28', '77ab4311-bbf8-4849-a646-f15438bf2271', '78977741-9762-4ac9-9c31-e40915815666', '7e0211f6-edff-4402-a59b-75cc26f78128', '84bc3ba3-bed8-4589-90b7-cc320d7c4124', 'a8672ab4-0383-4f6b-93e6-cb0b318bd0c3', 'cc936c78-fe9a-4373-a006-f596c7423151', 'ce723776-1ff7-4202-b72f-a9c9b796c262', 'df3ddbc6-7fc7-43aa-b876-674edb8ebbae', 'ecc61773-77c0-4f07-80a0-96318637d9ba']",Validity-guided fuzzy clustering evaluation for neural network-based time-frequency reassignment,EURASIP Journal on Advances in Signal Processing,2010,4ae1c545-0cc7-4542-bd47-b6c513ae1546
The diagnosis of unobservable faults in large and complex discrete event systems modeled by parallel composition of automata is considered. A modular approach is developed for diagnosing such systems. The notion of modular diagnosability is introduced and the corresponding necessary and sufficient conditions to ensure it are presented. The verification of modular diagnosability is performed by a new algorithm that incrementally exploits the modular structure of the system to save on computational effort. The correctness of the algorithm is proved. Online diagnosis of modularly diagnosable systems is achieved using only local diagnosers.,"['Olivier Contant', 'Stéphane Lafortune', 'Demosthenis Teneketzis']",93,"['0cb4347d-6747-4389-9737-1ae8624eb85b', '11b78cfd-4b23-47c9-9065-2f2443d2f261', '14872a52-6da7-456b-bb58-7104f8dab9f6', '217e8a7f-3b66-45b3-9894-1fd047184ad9', '42710449-99d6-49b3-b0d9-19e7e5bf2a0b', '578010a7-7d7d-4f72-9c13-b1dd439054d6', '9003d651-6f7f-4297-a3da-2777385246fc', '9dcdf903-1569-462a-8e1b-4e0daaf771c4', 'a7d846e7-5329-4d30-b3e6-0be9e68a67cb', 'b901a33c-c2fb-4c9d-a123-fe7e0f27083f', 'c6467774-da36-4524-9ed8-dc9088923a39', 'd6ce7538-3c38-4915-bf72-44426d75cbcf']",Diagnosability of Discrete Event Systems with Modular Structure,Discrete Event Dynamic Systems,2006,4ae1c6e9-fc16-4eeb-bacc-56065fd6438c
"In the age of highly integrated system LSIs, design methodologies for shorter time-to-market and higher re-programmability after the chip fabrications are now key research issues because of the difficulty of complete verification before tape-out of LSI designs. In this paper, we first introduce an IP-based VLSI architecture that consists of a main processor and an additional hardware (both custom hard macros and FPGA on a single chip) specialized to be in charge of the specific instructions. We further replace the controller circuits of the specialized hardware with compact micro-controllers and memories by using IP libraries (hard macros), which results in the increase of the debuggability and the flexibility of design even for computations realized by hard macros. We call the proposed architecture as field modifiable architecture (FMA). Experimental results confirm that our architecture can achieve significant performance improvement in terms of execution cycles and that EC (engineering change) can be successfully accommodated ""after"" chip fabrications.","['M. Fujita', 'S. Komatsu', 'S. Saito', 'Kenshu Seto', 'Thanyapat Sakunkonchak', 'Yasufumi Kojima']",50,"['0bc131db-d0f2-4fa0-a5c7-c04cb88ac6c2', '0f083fcc-803c-4f84-9561-b13bd72daf8f', '53367ca8-6b3f-4acc-887b-c3e71ad2c2b3', 'b935d6e9-0962-4924-ab7e-9fde8f764947', 'bc50697e-8c5b-4725-809b-5450a7523d64', 'c6451946-06e7-4256-b9f1-aa8db77d410d']",Field modifiable architecture with FPGAs and its design/verification/debugging methodologies,hawaii international conference on system sciences,2003,4ae1cb60-3b2e-4cd9-acdc-5712ddf7abca
"We present a novel approach to modelling the non-linear and time- varying dynamics of human motion, using statistical methods to capture the char- acteristic motion patterns that exist in typical human activities. Our method is based on automatically clustering the body pose space into connected regions ex- hibiting similar dynamical characteristics, modelling the dynamics in each region as a Gaussian autoregressive process. Activities that would require large numbers of exemplars in example based methods are covered by comparatively few motion models. Different regions correspond roughly to different action-fragments and our class inference scheme allows for smooth transitions between these, thus mak- ing it useful for activity recognition tasks. The method is used to track activities including walking, running, etc., using a planar 2D body model. Its effectiveness is demonstrated by its success in tracking complicated motions like turns, without any key frames or 3D information.","['Ankur Agarwal', 'Bill Triggs']",121,"['09a4efee-bef3-4493-9280-a35fbfed8250', '0ac31fb9-39d6-432b-884a-ed1b0329ea74', '0e6e2394-e7bb-4610-9f18-23e0cbc1a3ae', '3336bec8-9d96-4615-8a5a-d23b61b57ed2', '33e4f444-6959-43f5-b42d-23851e057136', '37d86d82-dd18-4dff-98a3-aa2fdc9c32df', '4adf54c9-f808-4988-ad8a-bf9cc87c6668', '733eea21-9c61-4935-8ffd-5b8e56dd947d', '75c6e7ad-f17c-40e1-8c39-965534096b2b', '779db54d-a398-4ba9-aacf-7fd6cf976dcb', '7f3d9495-7b9e-44ad-a36b-61b8bd7e0e43', '8e4a459f-61ea-4355-803f-842f903c995b', '8e7aa72d-7e8d-4249-a099-10ea371d6af3', '9e782ace-7971-4a8b-bed8-6d01fbbb88e1', 'b5e72744-0105-48bf-95ea-753f52280f48', 'e1f50832-764f-4f22-b3b8-e2dec38c0413', 'f834c951-1be3-4e4f-80f9-3175e1323e7d', 'f9f23d02-d017-4a1d-b2f4-5268836ed426']",Tracking Articulated Motion using a Mixture of Autoregressive Models,european conference on computer vision,2004,4ae1cd06-a8b8-4692-b453-1662e1e62f08
Tree-structured knowledge representations are increasingly being used since the relationships between data objects can be represented in a more meaningful way. A number of tree mining algorithms were developed for mining different subtree types using different parameters. At this point in research it would be useful to discuss what kind of sub-problems can be solved within the current tree mining framework. In this paper we provide a general overview of the development in the area of tree mining and discuss motivations and useful application areas for each development. Implications of using different tree mining parameters and constraints are discussed. Such an overview will be particularly useful for those not so familiar with the area of tree mining as it can reveal useful applications within their domain of interest. It gives guidance as to which type of tree mining will be most useful for their particular application.,"['Fedja Hadzic', 'Tharam S. Dillon', 'Elizabeth Chang']",5,"['0e983811-e18d-474b-b599-0994c93053af', '0ebe1712-c608-4db7-b623-b053c124d40e', '14815a84-78bd-406d-aff6-40439b363d3e', '2039c228-ca44-4256-ab1a-cb32491024fd', '3dce9e4b-b232-461a-b12a-277f64849aed', '42633d59-7cea-4ef4-89cf-41a289279925', '592550d2-2245-4624-b3bc-0d7cb4d33721', '709b1c48-f3f2-4634-8bfe-168a01955b6c', '709d5c9b-381e-45a5-9294-6f29a9686459', '72a1ec65-19df-4859-836d-782fbb10e724', '7e1cfbdc-59eb-41d1-984a-f17ac748a686', '8127df60-4e64-40ee-8e7c-fd23a6032c9c', '967c6c5f-134b-4c0f-a4a3-711b0860c562', '97398645-1f22-40c7-9fbb-9020705b7112', '9d63bcdf-d7a0-487c-8ca8-5d1fec453219', 'ab4df3e0-11e3-424d-bf00-6127d01003a6', 'c0360fa0-fd4d-4a0c-9385-8d22b4f73062', 'c8d31bb1-d2f7-4a4c-bdbe-b2744a79d49b', 'f250de0e-28d6-4832-9a50-4dfd10d4d36b', 'fc4927e3-9f47-4a90-a288-9c776ca9a59c']",Knowledge Analysis with Tree Patterns,hawaii international conference on system sciences,2008,4ae1e58a-febd-4e5b-93b8-6899bbc22d2f
"In this work we analyze the complexity of local broadcasting in the physical interference model. We present two distributed randomized algorithms: one that assumes that each node knows how many nodes there are in its geographical proximity, and another, which makes no assumptions about topology knowledge. We show that, if the transmission probability of each node meets certain characteristics, the analysis can be decoupled from the global nature of the physical interference model, and each node performs a successful local broadcast in time proportional to the number of neighbors in its physical proximity. We also provide worst-case optimality guarantees for both algorithms and demonstrate their behavior in average scenarios through simulations.","['Olga Goussevskaia', 'Thomas Moscibroda', 'Roger Wattenhofer']",93,"['00b195ea-90f4-4762-83b9-dc337772bd60', '09a5d9b5-786f-49c3-8df1-262a524a3cc0', '0cd62c6b-181e-45bc-96c4-01c9dcd4846a', '19581d69-1068-4279-b339-eeaacd277008', '1aa44b28-e931-466a-a929-adf8137b704f', '1baf90c8-5c75-4e5d-99f1-378571ef5a71', '23e0f8ec-c7b8-4704-b3f6-c50d6da10cd8', '277cd65c-dcb3-4347-835b-e058f2e057f1', '30885666-93e1-41b1-aaf4-a90f81118ca2', '321a3269-e8be-4069-9371-0fa33e30d360', '48467e74-1b97-42ef-8ca7-2d8fb6af8616', '5359a51b-a34a-4027-8a15-7aa83929abe5', '6858fa05-89cf-48b9-ab78-507b868de4bd', '69b00d47-d4b7-46c3-86c3-d944315ee27a', '7cce8d88-c3c4-46ed-95df-f0577f874db5', '866315bc-5c32-4f35-aa94-1954a9617add', '8cc9ea80-563f-4e62-bda9-8ff6d71cf6ae', 'a5ffacf4-2e2a-41f7-8f8c-cd4e11d821df', 'ba881adb-cb42-47ac-bf18-f197fe139505', 'bee4f656-10d8-4de2-9ee1-19ad4b8ef043', 'bfe1a3be-3ab8-491b-a515-de664bed8669', 'c4d536e4-1d49-4ec3-ba8f-b1416e873396', 'd85b1bb6-0337-4f79-a067-cef9eb08ea46', 'f34a7678-1f54-44db-b1e0-67bbf934fb6a', 'f833b903-da8a-4e2a-8103-1373013ab926', 'fba8e272-27e4-48bf-8b11-2565f6ff49da']",Local broadcasting in the physical interference model,,2008,4ae1e7f9-4c06-410a-8e52-514942e5d4a1
"In a worldwide environment, sustaining high yield with a minimum number of quality controls is key for manufacturing plants to remain competitive. In high-mix semiconductor plants, where more than 200 products are concurrently run, the complexity of designing efficient control plans comes from the larger amount of data and number of production parameters to handle. Several sampling algorithms were proposed in the literature, but most of them are seen impracticable when coming to an industrial implementation. In this paper, we present and discuss the industrial implementation of a dynamic sampling algorithm in a high-mix semiconductor plant. We describe how the sampling algorithm has been modified, and point out the set of questions that have been raised by the industrial program. Results indicate that more than 30% of control operations on lots could be avoided without increasing the material at risk in production.","['Justin Nduhura Munga', 'Stéphane Dauzère-Pérès', 'Philippe Vialletelle', 'Claude Yugma']",6,"['4d2f27b9-d6ce-468a-bf6e-261c564bc259', '6f5f3ded-90f5-40b7-ac80-bd96b0b57394', 'e5d320f3-d6bf-47a6-8711-cb8da3d21ddf']",Industrial implementation of a dynamic sampling algorithm in semiconductor manufacturing: approach and challenges,winter simulation conference,2012,4ae1eea9-0538-435f-9a63-c3fbccc0fde7
"This chapter reviews methods for the assessment and comparison of Pareto set approximations. Existing set quality measures from the literature are critically evaluated based on a number of orthogonal criteria, including invariance to scaling, monotonicity and computational effort. Statistical aspects of quality assessment are also considered in the chapter. Three main methods for the statistical treatment of Pareto set approximations deriving from stochastic generating methods are reviewed. The  dominance ranking method  is a generalization to partially-ordered sets of a standard non-parametric statistical test, allowing collections of Pareto set approximations from two or more stochastic optimizers to be directly compared statistically. The  quality indicator method  -- the dominant method in the literature -- maps each Pareto set approximation to a number, and performs statistics on the resulting distribution(s) of numbers. The  attainment function method  estimates the probability of attaining each goal in the objective space, and looks for significant differences between these probability density functions for different optimizers. All three methods are valid approaches to quality assessment, but give different information. We explain the scope and drawbacks of each approach and also consider some more advanced topics, including multiple testing issues, and using combinations of indicators. The chapter should be of interest to anyone concerned with generating and analysing Pareto set approximations.","['Eckart Zitzler', 'Joshua D. Knowles', 'Lothar Thiele']",224,"['057e40f6-f572-48bd-a73a-e5458d71c6b5', '0b1363e0-b6a4-4c99-8a2a-5f82850aee67', '0cc8a4bb-8bb1-4526-ab1e-ae8ff4eccc6d', '0e1612ea-3b1a-4b44-99a8-79e013a83128', '117cf926-944b-497f-8dcf-05485d6b7a75', '222960df-baa9-4b77-8258-0eeda0858f12', '23dc6e53-9579-4198-bb00-dedfd3e6071b', '2cfe25fd-b61d-4eea-8690-f0289a0cbefe', '50ccb220-d173-4912-a26a-f6d1a336f8f1', '65d5ccdc-7022-45b0-adf9-0385273b1283', '7f03149e-aa7e-4d2f-8061-5827e9a3f065', '87eea505-2276-4f30-a3bd-ef4631e1cdc8', '9136eff9-442d-4221-a12f-e2b1ff808472', '9cf177c9-48f2-4743-823d-950b096f0008', 'a843fd45-7a24-4d89-83a2-8d16aaaf210a', 'b13ca83a-21cb-459d-8e16-ee29b631f156', 'b5b0901c-199f-4030-8cc5-17c3c85e34bd', 'c1c71bc3-0c86-4b81-b6d2-361a838fcc03', 'd4f7d49f-be4c-488d-9090-a7cbccab8c8a', 'd6c3b520-427e-4344-85ff-45b4c455f8fc', 'd745a597-7a3f-4307-90a8-e5ef006d9fe8', 'f888329a-8707-4616-b928-d793827acb21']",Quality Assessment of Pareto Set Approximations,,2008,4ae1ef86-dba9-4fa2-8ddd-f088ec0fefdf
"This paper is motivated by multichannel sampling applications. We consider a hybrid filter banks consisting of a set of fractional delays operators, slow A/D converters with different antialiasing filters, digital expanders, and digital synthesis filters (to be designed). The synthesis filters are designed to minimize the maximum gain of a hybrid induced error system. We show that the induced error system is equivalent to a digital system. This digital system enables the design of stable synthesis filters using existing control theory tools such as model-matching and linear matrix inequalities. Moreover, the induced error is robust against delay estimate errors. Numerical experiments show the proposed approach yields better performance compared to existing techniques.","['Ha T. Nguyen', 'Minh N. Do']",50,"['1faef1fb-c104-4ee7-a357-bcfb59f1486c', '6dc35a91-08d0-4b72-8dfc-691706ddec19', '863e9101-5eca-4fd8-b040-770114c168a0', '98b1c4e9-45ec-4688-a7f2-27e2bccec88b', 'b06cdcfc-e782-4a47-ba42-9e5bb9a8c584', 'b1832d2e-baa4-4320-91d0-9221e1ec7a07', 'e85de4e2-8b97-49ea-922f-db0dfa4eb9ac']",Hybrid Filter Banks With Fractional Delays: Minimax Design and Application to Multichannel Sampling,IEEE Transactions on Signal Processing,2008,4ae20f72-4c71-41d5-ae1b-8a79b6d2279b
"The Drift Table is an electronic coffee table that displays slowly moving aerial photography controlled by the distribution of weight on its surface. It was designed to investigate our ideas about how technologies for the home could support ludic activities-that is, activities motivated by curiosity, exploration, and reflection rather than externally-defined tasks. The many design choices we made, for example to block or disguise utilitarian functionality, helped to articulate our emerging understanding of ludic design. Observations of the Drift Table being used in volunteers' homes over several weeks gave greater insight into how playful exploration is practically achieved and the issues involved in designing for ludic engagement.","['William W. Gaver', 'John Bowers', 'Andy Boucher', 'Hans Gellerson', 'Sarah Pennington', 'A. Schmidt', 'Anthony Steed', 'Nicholas Villars', 'Brendan Walker']",329,"['0d6bfa61-b1d9-4eb1-ba23-ce55e963b315', '3261bbf7-b75c-4340-9844-3140d6372db5', '350df580-97c7-4ec6-9372-12c06da6f6cf', '360e8587-4210-4201-8f5f-a8a8bd92d5bf', '9c62ceb1-7606-44f1-94fb-901bff6fab3e', 'b7b3e500-4c69-463a-b4d2-e2690afc17e9']",The drift table: designing for ludic engagement,human factors in computing systems,2004,4ae2261a-b0f9-474c-9795-1cc41a5e9211
"Using data collected among 742 respondents, this article aims at gaining greater insight into (i) the interaction between face-to-face (F2F) and electronic contacts, (ii) the influence of information content and relational distance on the communication mode/ service choice and (iii) the influence of relational and geographical distance, in addition to other factors, on the frequency of F2F and electronic contacts with relatives and friends. The results show that the frequency of F2F contacts is positively correlated with that for electronic communication, pointing at a complementarity effect.With respect to information content and relational distance, we find, on the basis of descriptive analyses, that synchronous modes/services (F2F and telephone conversations) are used more for urgent matters and that asynchronous modes (in particular email) become more influential as the relational distance increases. Finally, ordered probit analyses confirm that the frequency of both F2F and electronic communication d...","['Taede Tillema', 'Martin Dijst', 'Tim Schwanen']",85,"['1a99799c-cf2e-4113-885d-e968c1f44971', '7c290b38-21f2-407a-aad3-c0427bbbabd1', '9ef55042-a099-415a-b82d-5dc2c3d2feb9']",Face-to-face and electronic communications in maintaining social networks: the influence of geographical and relational distance and of information content,New Media & Society,2010,4ae226e6-3bcc-4d0f-a23f-9be2185973d9
"Existing mobile navigators can readily display any static data related to the area surrounding a user. However, their ability to display any dynamic data is limited. In this paper, we enable the viewing of dynamic data on a navigator using wireless data broadcast. The dynamic data are periodically broadcast via base stations of wireless systems, and can be filtered by navigators fetching desired data. We address several crucial issues related to the design of this application, including data organizing, indexing, caching, and querying. We simulate the performance of the resulting system by measuring the time and energy costs associated with retrieving the dynamic data.",['Shou-Chih Lo'],0,"['252ff9de-9155-40bf-98c9-906056b3a726', '28300f5c-101b-4a59-bf01-ef3f3785e3e6', '2e4e507b-bf78-45ae-889f-27a3d7296ae4', '306437ad-f963-4edf-a99e-f297b4ff0b31', '5047a242-749e-40cc-94db-5d6789b0649d', '56b6a3b3-f56e-4520-a5c0-83d9d33f0531', '59d2a662-38f6-467a-88cf-b2f9445a8317', '59f2f674-f88d-46a5-b0fd-1c78a41827e8', '5cb13384-0f7a-4796-abfb-0c60c886006b', '73c955ac-0d9f-42a3-a466-46a5817490ee', '7f21f346-d6b7-4aa9-a629-a91b7fa88d25', '94d7ed22-364d-40a5-859f-1ff48b49cda8', '968db176-9f08-4336-909d-bc92299a28d5', '98aa21f7-44fa-497c-837b-b8f676cbf628', '9dc10eae-719c-4eeb-954e-437e0031382c', 'a91edca7-c663-4e49-9db6-8a6f37992a0f', 'b3309a71-62bd-4c1b-93d0-a7fad54b9ddf', 'e9a91f9a-8bb9-405a-a709-46d6f0decd2a', 'fa32d8a2-cca7-41f4-845a-f99a53584cbc']",Design of Spatial Data Broadcast for Mobile Navigation Applications,Journal of Information Science and Engineering,2009,4ae263f0-e592-4d2a-abf7-3065c13550b8
"Today’s development processes employ a variety of notations and tools, e.g., the Unified Modeling Language UML, the Standard Description Language SDL, requirements databases, design tools, code generators, model checkers, etc. For better process support, the employed tools may be organized within a tool suite or integration platform, e.g., Rational Rose or Eclipse. While these tool-integration platforms usually provide GUI adaption mechanisms and functional adaption via application programming interfaces, they frequently do not provide appropriate means for data integration at the meta-model level. Thus, overlapping and redundant data from different “integrated” tools may easily become inconsistent and unusable. We propose two design patterns that provide a flexible basis for the integration of different tool data at the meta-model level. To achieve consistency between meta-models, we describe rule-based mechanisms providing generic solutions for managing overlapping and redundant data. The proposed mechanisms are widely used within the Fujaba Tool Suite. We report about our implementation and application experiences .","['Sven Burmester', 'Holger Giese', 'Jörg Niere', 'Matthias Tichy', 'Jörg P. Wadsack', 'Robert Wagner', 'Lothar Wendehals', 'Albert Zündorf']",109,"['0411680d-56e9-43a8-8502-7241ebb4c60a', '29d5ebae-cd6c-4905-8d37-40d4b6c9a727', '57473605-413b-49b4-86ba-e593d84cf5fb', '83cff325-43e0-4161-aedd-01bd59463cc7', 'c5645047-f379-4a02-ab52-b98e9a93363d', 'ce27f47f-2f77-4b76-83a9-98ab58f850db', 'ce413cbb-ded4-4d62-af65-a21b5e840602', 'dd3c5680-6672-45f7-9b44-56bcf4f40b90', 'f6e790b2-a87e-4c46-8195-89a4f8afc30d', 'fb8ae49c-03fc-4e92-8fb1-275f3f302471']",Tool integration at the meta-model level: the Fujaba approach,International Journal on Software Tools for Technology Transfer,2004,4ae266e8-6c9c-4b28-80e8-71f0358f84e5
"We present a new algorithm for simultaneous filtering and parameter estimation of chaotic time series corrupted by additive measurement noise. This method is based on iteratively minimizing the total least squares (TLS) error in the phase-space using steepest descent. In contrast to prior work, we assume that the dynamic equations modeling the nonlinear time series are known, but the corresponding parameters are not. Specifically, the data is assumed to be generated from time series satisfying a set of coupled logistics equations corrupted by additive white Gaussian noise. This work is motivated in part by language modeling, where the dynamics of a conversation are argued to satisfy the coupled logistics equations and the time series data represents noisy measurements taken from protocols. Accurate estimation of the process parameters is critical, e.g., in diagnosing and treating different types of language disorders and also may prove valuable for testing and improving language understanding systems.","['Susan M. Schweizer', 'Virginia L. Stonick', 'J. L. Evans']",1,"['3eef7b97-3b9d-43c9-b71a-0467c1c0aa0a', 'ac4fceb2-9a4b-4806-b43f-26f4e29801f2']",TLS parameter estimation for filtering chaotic time series,international conference on acoustics speech and signal processing,1996,4ae26afc-eb0d-4038-bbd1-b7e54eec8cd0
"This paper intends to bear witness on the past, present and future of portals at BNP Paribas with a focus on: 1) the B2E intranet portal (Echo'net), 2) the French B2C home banking portal (BNPPARIBAS.NET). It introduce the challenges that confronted BNP Paribas in each case, reflect on lessons learnt and future trends and finally suggest what financial services firms expect from e-business infrastructure hardware and software vendors and service providers",['Marc Idelson'],0,[],Industry track portals at BNP Paribas: a brief testimony (April 2005),international conference on e-business engineering,2005,4ae26d1d-c219-4078-a734-aa1a909fa192
"Magnetorheological (MR) fluids are substances that respond to an applied magnetic field with a change in their theological behavior. Though they are functionally similar to electrorheological (ER) fluids, MR fluids exhibit much higher yield strengths for the applied magnetic fields than ER fluids for the applied electric fields. The devices using MR fluids have an ability to provide high-torque, low-inertia, a safe device and simple interface. In this study, we report on an actuator developed using the MR fluid, which consists of an input part, an output part and an MR fluid clutch between them. First, the basic experiments are examined to investigate the characteristics of the actuator. Next, the torque control system of the MR-fluid actuator is proposed. Finally, the closed-loop control experiments were carried out and it is confirmed that the torque-feedback control is effective for improving the response properties of MR actuators.","['Naoyuki Takesue', 'Junji Furusho', 'Masamichi Sakaguchi']",22,['8082a4fe-4c12-4ae0-8cfb-40c4a94f4c81'],Improvement of response properties of MR-fluid actuator by torque feedback control,international conference on robotics and automation,2001,4ae27281-aede-499c-9ff3-56f50fff82b2
"Providing multiple modes to support dynamically changing environments, standards, and new services is prevalent in embedded systems, especially in mobile radio systems. Because such a system frequently contains time-constrained tasks, it is important to analyze the temporal requirements as well as the functional correctness. This paper presents a method to analyze temporal requirements imposed on an embedded real-time system supporting multiple modes. While most performance analysis methods focus only on testing the feasibility of a task or a system, our method goes further by addressing the problem of locating hot spots of a system thereby helping the designer to choose among alternative designs or architectures. We formally define the analysis problem and show that it is very unlikely to be solved efficiently. We present a heuristic algorithm, which is accurate and fast enough to be used in iterative processes in system-level analysis and design. The analysis problem is extended to accommodate probabilistic behavior exhibited by soft real-time tasks.","['Youngsoo Shin', 'Dae-Hong Kim', 'Kiyoung Choi']",50,"['1a06f6ad-f4b9-450e-bc81-aa5d8956ae21', '3805844b-8ebb-42d9-8607-0c827583854d', '41b1aa6f-0cdf-475c-b786-fb30b675caa0', '5e8b52b0-5676-443a-9ef7-6fd753406246', '77dcce9f-5c6d-44bc-a8f3-abea83b26826', '81f76a83-edcb-415a-98f2-5c764e1012b3', '834d24a4-87cf-417d-a78f-2390494d6f51', '8a7848ce-2a13-40a6-b801-b21e8e1ca2e8', '8d696752-b062-4310-ba80-1fb8d6faa0fa', 'ac0add47-3271-4edd-9c98-6fbfb9d46e55', 'ae97a9ac-4442-4d04-93e0-9fa367f71386', 'c43a8564-cb7f-45e8-9ccd-9bfda2c991c5', 'd7eb74d3-04a3-476b-8e3d-563f6729ca3b', 'ec70c332-ec64-4d07-bc89-488594f8166b']",Schedulability-driven performance analysis of multiple mode embedded real-time systems,design automation conference,2000,4ae28117-19d8-4425-9c76-21e73ddc231c
"In this paper, we focus on the performance analysis of the cognitive coexistence between Bluetooth and WLAN systems with sensing errors. The packet transmission rate and packet error probability are derived corresponding to the sensor operating points (consisting of the false alarm probability and the miss detection probability). Then, the optimization problem is established as maximizing the throughput of cognitive user with the constraint of the colliding probability with primary user. Simulation results illustrate that the proposed error analysis approach can obtain the optimal performance when considering the sensing errors. Moreover, the influence on the throughput of cognitive user caused by different sensor operating points is investigated by simulation.","['Xiaohui Li', 'Xin Xue', 'Guanghui Yu']",0,"['0794b017-6918-4146-9bbd-14e39677d5fe', '3054db29-914e-4817-936c-9e8840398c1a', '3a728aac-8da1-4c6f-b2b8-5a0350f39107', '4d357f28-f6d6-4136-bfa3-ebdf435f41cf', 'b2004141-a7f2-401f-a3f7-85afc2713da3', 'c25deccf-e75f-4d02-8057-6699ccf3dc85']",Performance analysis of cognitive coexistence systems with sensing errors,international conference on wireless communications and mobile computing,2011,4ae286d4-d3dc-4313-a7ac-709ef89f140c
"The interactive task in Cultural Heritage in CLEF 2013 used a standardised interactive protocol, information retrieval system and interface to observe a set of participants remotely via the web as well as in the lab access an English language collection from the Europeana Digital Library. Both user response and log data were collected from the 208 participants.","['Elaine G. Toms', 'Mark M. Hall']",6,"['4604c20c-824e-4a7c-b113-04840aecde15', '599c95fd-8ce6-4c13-9552-373cd975cb5f', '6d5d57eb-8de8-4c02-ad75-c73cb6285813', '73eceef0-6e50-4dc9-aa3e-7618d38526c0', '9c84c2d7-de12-4a76-afd7-32981afdae89', 'c276852a-2135-48d9-8141-68fdd90747bc', 'e1ecf045-ee1a-4cca-a57b-b69a86aee736', 'efc1fc97-5ff6-409d-b523-86125684cb75']",The CHiC Interactive Task (CHiCi) at CLEF2013,,2013,4ae28857-ec48-402d-911a-15d443ff87e2
